Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,8.910000,8.910000,8.910000,8.910000,7.849282,0
2014-01-03,8.920000,8.920000,8.920000,8.920000,7.858091,0
2014-01-06,8.930000,8.930000,8.930000,8.930000,7.866900,0
2014-01-07,8.970000,8.970000,8.970000,8.970000,7.902138,0
2014-01-08,8.960000,8.960000,8.960000,8.960000,7.893329,0
2014-01-09,8.930000,8.930000,8.930000,8.930000,7.866900,0
2014-01-10,9.000000,9.000000,9.000000,9.000000,7.928568,0
2014-01-13,8.940000,8.940000,8.940000,8.940000,7.875710,0
2014-01-14,8.990000,8.990000,8.990000,8.990000,7.919757,0
2014-01-15,9.020000,9.020000,9.020000,9.020000,7.946187,0
2014-01-16,9.000000,9.000000,9.000000,9.000000,7.928568,0
2014-01-17,8.990000,8.990000,8.990000,8.990000,7.919757,0
2014-01-21,9.010000,9.010000,9.010000,9.010000,7.937377,0
2014-01-22,9.010000,9.010000,9.010000,9.010000,7.937377,0
2014-01-23,8.960000,8.960000,8.960000,8.960000,7.893329,0
2014-01-24,8.730000,8.730000,8.730000,8.730000,7.690711,0
2014-01-27,8.680000,8.680000,8.680000,8.680000,7.646663,0
2014-01-28,8.740000,8.740000,8.740000,8.740000,7.699520,0
2014-01-29,8.680000,8.680000,8.680000,8.680000,7.646663,0
2014-01-30,8.690000,8.690000,8.690000,8.690000,7.655472,0
2014-01-31,8.590000,8.590000,8.590000,8.590000,7.567377,0
2014-02-03,8.440000,8.440000,8.440000,8.440000,7.435234,0
2014-02-04,8.460000,8.460000,8.460000,8.460000,7.452853,0
2014-02-05,8.470000,8.470000,8.470000,8.470000,7.461663,0
2014-02-06,8.600000,8.600000,8.600000,8.600000,7.576187,0
2014-02-07,8.700000,8.700000,8.700000,8.700000,7.664281,0
2014-02-10,8.700000,8.700000,8.700000,8.700000,7.664281,0
2014-02-11,8.820000,8.820000,8.820000,8.820000,7.769996,0
2014-02-12,8.860000,8.860000,8.860000,8.860000,7.805233,0
2014-02-13,8.890000,8.890000,8.890000,8.890000,7.831662,0
2014-02-14,8.940000,8.940000,8.940000,8.940000,7.875710,0
2014-02-18,9.020000,9.020000,9.020000,9.020000,7.946187,0
2014-02-19,8.990000,8.990000,8.990000,8.990000,7.919757,0
2014-02-20,9.000000,9.000000,9.000000,9.000000,7.928568,0
2014-02-21,9.030000,9.030000,9.030000,9.030000,7.954996,0
2014-02-24,9.080000,9.080000,9.080000,9.080000,7.999043,0
2014-02-25,9.070000,9.070000,9.070000,9.070000,7.990233,0
2014-02-26,9.030000,9.030000,9.030000,9.030000,7.954996,0
2014-02-27,9.040000,9.040000,9.040000,9.040000,7.963805,0
2014-02-28,9.100000,9.100000,9.100000,9.100000,8.016664,0
2014-03-03,8.890000,8.890000,8.890000,8.890000,7.831662,0
2014-03-04,9.070000,9.070000,9.070000,9.070000,7.990233,0
2014-03-05,9.060000,9.060000,9.060000,9.060000,7.981424,0
2014-03-06,9.130000,9.130000,9.130000,9.130000,8.043092,0
2014-03-07,9.050000,9.050000,9.050000,9.050000,7.972614,0
