Date,Price,Open,High,Low,Vol.,Change %
11-Nov-19,1713.16,"1,709.22","1,714.53","1,702.71",-,0.10%
8-Nov-19,1711.51,"1,718.48","1,718.48","1,708.63",-,-0.49%
7-Nov-19,1719.94,"1,720.18","1,726.89","1,718.19",-,0.06%
6-Nov-19,1718.89,"1,714.61","1,722.17","1,713.14",-,0.21%
5-Nov-19,1715.33,"1,721.40","1,722.61","1,712.16",-,-0.51%
4-Nov-19,1724.11,"1,713.87","1,726.89","1,713.37",-,0.87%
1-Nov-19,1709.19,"1,698.90","1,710.07","1,698.90",-,0.81%
31-Oct-19,1695.38,"1,707.58","1,709.40","1,692.36",-,-0.26%
30-Oct-19,1699.87,"1,696.39","1,703.97","1,689.44",-,0.17%
29-Oct-19,1697.03,"1,694.26","1,697.03","1,685.21",-,0.05%
28-Oct-19,1696.12,"1,692.44","1,699.46","1,688.84",-,0.23%
25-Oct-19,1692.16,"1,692.10","1,694.38","1,684.18",-,0.03%
24-Oct-19,1691.67,"1,688.39","1,698.78","1,688.31",-,0.51%
23-Oct-19,1683.14,"1,677.49","1,686.58","1,674.89",-,-0.04%
22-Oct-19,1683.74,"1,683.66","1,688.53","1,675.67",-,-0.01%
21-Oct-19,1683.91,"1,676.14","1,688.47","1,675.22",-,0.69%
18-Oct-19,1672.39,"1,673.07","1,678.94","1,666.84",-,-0.10%
17-Oct-19,1674.10,"1,665.76","1,692.13","1,664.35",-,0.51%
16-Oct-19,1665.65,"1,667.45","1,671.69","1,657.92",-,-0.03%
15-Oct-19,1666.20,"1,652.67","1,670.21","1,649.26",-,1.17%
14-Oct-19,1646.95,"1,650.24","1,650.24","1,637.97",-,-0.57%
11-Oct-19,1656.40,"1,623.18","1,657.74","1,621.52",-,2.45%
10-Oct-19,1616.84,"1,606.65","1,623.07","1,599.02",-,0.92%
9-Oct-19,1602.12,"1,591.85","1,608.71","1,590.34",-,0.64%
8-Oct-19,1591.90,"1,614.45","1,616.05","1,589.98",-,-1.45%
7-Oct-19,1615.34,"1,600.60","1,616.41","1,598.72",-,0.86%
4-Oct-19,1601.51,"1,588.88","1,603.43","1,587.16",-,0.66%
3-Oct-19,1591.03,"1,583.28","1,593.30","1,579.97",-,0.34%
2-Oct-19,1585.57,"1,625.51","1,625.51","1,585.41",-,-2.45%
1-Oct-19,1625.45,"1,642.46","1,648.97","1,625.45",-,-1.18%
30-Sep-19,1644.80,"1,644.95","1,647.53","1,640.28",-,-0.07%
27-Sep-19,1645.95,"1,635.04","1,646.76","1,635.04",-,0.53%
26-Sep-19,1637.33,"1,627.10","1,643.03","1,626.43",-,0.46%
25-Sep-19,1629.82,"1,642.43","1,642.43","1,619.48",-,-0.90%
24-Sep-19,1644.68,"1,646.72","1,649.82","1,644.19",-,-0.03%
23-Sep-19,1645.14,"1,656.90","1,657.75","1,637.72",-,-0.89%
20-Sep-19,1659.86,"1,666.44","1,667.34","1,657.63",-,-0.12%
19-Sep-19,1661.78,"1,649.45","1,664.85","1,647.09",-,0.61%
18-Sep-19,1651.68,"1,650.25","1,654.99","1,645.85",-,0.08%
17-Sep-19,1650.30,"1,643.88","1,654.24","1,640.06",-,0.41%
16-Sep-19,1643.52,"1,656.96","1,658.24","1,643.45",-,-1.34%
13-Sep-19,1665.82,"1,662.44","1,667.51","1,660.53",-,0.76%
12-Sep-19,1653.22,"1,649.17","1,659.86","1,644.47",-,0.48%
11-Sep-19,1645.30,"1,640.97","1,648.34","1,640.31",-,0.41%
10-Sep-19,1638.66,"1,637.17","1,639.83","1,627.00",-,0.04%
9-Sep-19,1638.04,"1,640.54","1,641.84","1,634.85",-,-0.18%
6-Sep-19,1640.96,"1,635.08","1,640.96","1,632.19",-,0.33%
5-Sep-19,1635.51,"1,624.59","1,639.90","1,624.59",-,0.85%
4-Sep-19,1621.71,"1,607.73","1,624.03","1,607.73",-,1.52%
3-Sep-19,1597.41,"1,595.71","1,599.20","1,588.47",-,-0.26%
2-Sep-19,1601.59,"1,601.84","1,607.63","1,600.30",-,-0.06%
30-Aug-19,1602.62,"1,596.09","1,611.34","1,596.09",-,0.19%
29-Aug-19,1599.53,"1,582.65","1,602.66","1,580.97",-,0.97%
28-Aug-19,1584.16,"1,587.92","1,587.92","1,572.64",-,-0.37%
27-Aug-19,1589.98,"1,581.35","1,593.14","1,577.04",-,0.50%
26-Aug-19,1582.06,"1,580.56","1,585.67","1,576.15",-,0.04%
23-Aug-19,1581.43,"1,590.88","1,599.90","1,581.43",-,-0.57%
22-Aug-19,1590.46,"1,594.50","1,600.87","1,586.07",-,-0.51%
21-Aug-19,1598.58,"1,579.88","1,602.31","1,579.88",-,1.26%
20-Aug-19,1578.65,"1,587.84","1,593.66","1,576.10",-,-0.77%
19-Aug-19,1590.83,"1,582.22","1,593.10","1,582.22",-,1.04%
16-Aug-19,1574.38,"1,555.33","1,575.07","1,555.33",-,1.22%
15-Aug-19,1555.44,"1,566.25","1,569.48","1,544.68",-,-0.68%
14-Aug-19,1566.04,"1,597.40","1,597.40","1,560.43",-,-1.98%
13-Aug-19,1597.66,"1,587.83","1,604.55","1,578.70",-,0.30%
12-Aug-19,1592.81,"1,601.51","1,608.33","1,587.92",-,-0.18%
9-Aug-19,1595.72,"1,607.41","1,607.41","1,594.39",-,-0.82%
8-Aug-19,1608.96,"1,590.63","1,611.54","1,590.63",-,1.51%
7-Aug-19,1585.00,"1,580.59","1,593.55","1,576.69",-,0.49%
6-Aug-19,1577.24,"1,585.15","1,596.07","1,576.73",-,-0.43%
5-Aug-19,1584.09,"1,597.32","1,598.88","1,582.15",-,-1.64%
2-Aug-19,1610.45,"1,634.32","1,634.32","1,606.95",-,-2.09%
1-Aug-19,1644.84,"1,630.43","1,649.67","1,629.20",-,-0.26%
31-Jul-19,1649.17,"1,649.00","1,651.51","1,638.16",-,0.12%
30-Jul-19,1647.17,"1,669.03","1,669.03","1,644.78",-,-1.36%
29-Jul-19,1669.84,"1,663.67","1,675.74","1,663.46",-,0.13%
26-Jul-19,1667.70,"1,664.43","1,670.78","1,662.49",-,0.02%
25-Jul-19,1667.31,"1,675.71","1,684.30","1,662.35",-,-0.44%
24-Jul-19,1674.63,"1,675.45","1,676.69","1,668.24",-,-0.02%
23-Jul-19,1675.02,"1,667.07","1,681.96","1,667.07",-,0.35%
22-Jul-19,1669.18,"1,666.77","1,671.34","1,664.38",-,0.13%
19-Jul-19,1666.93,"1,673.34","1,682.10","1,663.98",-,0.13%
18-Jul-19,1664.73,"1,667.03","1,674.03","1,660.36",-,-0.28%
17-Jul-19,1669.41,"1,670.15","1,677.05","1,667.65",-,-0.36%
16-Jul-19,1675.38,"1,673.28","1,676.73","1,669.20",-,0.01%
15-Jul-19,1675.17,"1,673.84","1,681.45","1,668.65",-,0.29%
12-Jul-19,1670.30,"1,672.77","1,675.61","1,668.20",-,0.02%
11-Jul-19,1670.03,"1,677.63","1,681.07","1,668.19",-,-0.12%
10-Jul-19,1672.06,"1,667.62","1,680.92","1,664.70",-,0.20%
9-Jul-19,1668.80,"1,673.74","1,673.74","1,661.39",-,-0.56%
8-Jul-19,1678.14,"1,678.40","1,685.25","1,675.04",-,-0.13%
5-Jul-19,1680.27,"1,699.83","1,699.83","1,674.02",-,-1.24%
4-Jul-19,1701.37,"1,700.34","1,703.40","1,699.08",-,0.11%
3-Jul-19,1699.55,"1,686.22","1,702.27","1,686.22",-,0.69%
2-Jul-19,1687.83,"1,684.24","1,690.73","1,681.43",-,0.12%
1-Jul-19,1685.79,"1,681.82","1,694.27","1,680.61",-,0.19%
28-Jun-19,1682.62,"1,670.07","1,682.62","1,670.07",-,0.83%
27-Jun-19,1668.73,"1,669.24","1,674.86","1,663.17",-,-0.07%
26-Jun-19,1669.93,"1,670.04","1,676.75","1,666.90",-,-0.35%
25-Jun-19,1675.75,"1,679.14","1,679.14","1,669.74",-,-0.17%
24-Jun-19,1678.67,"1,680.87","1,686.05","1,676.89",-,0.36%
21-Jun-19,1672.63,"1,674.06","1,680.63","1,669.74",-,-0.11%
20-Jun-19,1674.39,"1,671.40","1,682.23","1,671.40",-,1.04%
19-Jun-19,1657.19,"1,654.26","1,662.57","1,649.11",-,0.31%
18-Jun-19,1652.13,"1,630.97","1,655.83","1,625.03",-,1.33%
17-Jun-19,1630.39,"1,629.25","1,634.75","1,628.16",-,-0.08%
14-Jun-19,1631.67,"1,643.61","1,643.61","1,628.97",-,-0.83%
13-Jun-19,1645.27,"1,644.20","1,652.97","1,642.24",-,-0.28%
12-Jun-19,1649.87,"1,651.58","1,652.91","1,644.80",-,-0.27%
11-Jun-19,1654.31,"1,645.84","1,660.46","1,645.84",-,0.66%
